direccion
"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS"
6A. CALLE 8-10 ZONA 10 CERRITO EL CARACOL COBÁN
"5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA, SAN CRISTÓBAL VERAPAZ"
CASERÍO PANTOCAN
"4ª. AVENIDA, ENTRE O Y 1 CALLE ZONA 4, BARRIO SAN FELIPE"
"4A. CALLE A 2-17, ENCLAVADO ZONA 2, COLONIA PANÁ"
COLONIA PANTOCÁN
CASERÍO CHILLEY
"0 CALLE ""C"" 4-29 ZONA 4, BARRIO CHAMCHÉ"
"1A. AVENIDA 6-73 ZONA 7, CANTÓN CHIJACORRAL"
LOTE NO. 42 CASERÍO NUEVA ESPERANZA
CASERÍO NUEVA ESPERANZA
"BARRIO EL CENTRO, ALDEA TELEMÁN"
"INSTALACIONES QUE OCUPA EL INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA, ALDEA TELEMAN"
"INSTALACIONES DEL INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA, ALDEA TELEMAN"
COMUNIDAD LA MONTAÑESA
"RESIDENCIALES RAXPEC, SECTOR CHAJUCH LOTE NÚMERO 17"
BARRIO RESURRECCIÓN
COLONIA BELÉN
ALDEA BELÉN
CASERÍO SANTA MARÍA CHICOC
ALDEA BOLONCÓ
"BARRIO PEÑA BLANCA, ZONA 6"
BARRIO PEÑA BLANCA ZONA 6
BARRIO SANTA MARÍA
RAXRUHÁ
ALDEA CHILASCÓ
CANTÓN LA CRUZ
CASERÍO CHUPEL
ALDEA CHICHOLÓN
CANTÓN SAN JUAN
2A. CALLE Y 4A. AVENIDA ZONA 3 FRENTE AL CAMPO DE AVIACIÓN
"CASERÍO CORROLABAJ, ALDEA CHITICOY"
"CASERÍO PLAN DE SANCHEZ, ALDEA RAXJUT"
CASERÍO CHIRUJ
"CASERÍO PLANES Y BODEGAS, ALDEA EL JÍCARO"
KILÓMETRO 144 RN-17 ALDEA SIBABAJ
"BARRIO ABAJO, CALLE LA ASUNCIÓN"
ALDEA SAN MARCOS SACSAMANÍ
CASERÍO NUEVO PROGRESO PANCHISIVIC
"CASERÍO MONTE CRISTO, ALDEA SAN MARCOS PACOC"
KM. 2.5 CARRETERA A SAN MARTÍN JILOTEPEQUE
"CASERÍO CENTRO, ALDEA HACIENDA MARÍA"
SAN MARTÍN JILOTEPEQUE
"2A. AVENIDA, BARRIO SAN JOSÉ EL GUITE"
"LOTIFICACIÓN NUEVO SAN MARTÍN, BARRIO SAN GASPAR"
"2A. AVENIDA FINAL, BARRIO SAN JOSÉ EL GUITE"
BARRIO EL GÜITE
"14A. CALLE 1A-38, COLONIA NUEVO SAN MARTÍN, ZONA 1, BARRIO SAN GASPAR"
"4A. CALLE 4-78 ZONA 1, BARRIO PAXÁN"
