establecimiento
"COLEGIO ""LA INMACULADA"""
"LICEO ""MODERNO LATINO"""
"COLEGIO DE INFORMATICA ""CENINFAV"""
"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE"""
"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO"""
"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS"""
"ISEA ""LA ESCUELA EN SU CASA"""
"LICEO MIXTO PARTICULAR ""SAN BENITO"""
"INSTITUTO TECNOLOGICO VOCACIONAL ""MARCO TULIO DE LA CRUZ MORALES"""
"INSTITUTO TECNOLÓGICO VOCACIONAL ""MARCO TULIO DE LA CRUZ MORALES"""
"CENTRO DE FORMACIÓN ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL ""JACK & MARIE EITING"""
"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-SENAHÚ ""CEPREC SENAHÚ"""
"INSTITUTO DE EDUCACION BASICA BILINGÜE INTERCULTURAL ""LA TRINIDAD"""
"COLEGIO ""STHELLA DE HERNANDEZ"""
"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-LANQUÍN ""CEPREC LANQUÍN"""
"INSTITUTO MIXTO PRIVADO ""FRANCISCO OSWALDO REYES NARCISO"""
"LICEO MIXTO PRIVADO ""SENDEROS PARA LA VIDA"""
"COLEGIO MIXTO PRIVADO ""ASDECHI"""
"INSTITUTO MIXTO DE EDUCACIÓN ""FORTALEZA DEL FUTURO"" -INMEFF-"
"INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA ""SANTO DOMINGO"""
"COLEGIO PARTICULAR MIXTO ""EL EXITO"""
"LICEO TECNOLOGICO ""JOSE DE JESUS"""
"COLEGIO PARTICULAR MIXTO TINTECO ""MARÍA TERESA"""
"INSTITUTO MIXTO DE MAGISTERIO BILINGUE ""SAN ANTONIO DE PADUA"""
"INSTITUTO MIXTO DE MAGISTERIO BILINGÜE ""SAN ANTONIO DE PADUA"""
"CENTRO EDUCATIVO TECNOLÓGICO ""EL NAZARENO"""
"ESCUELA NORMAL RURAL NO. 1 ""PEDRO MOLINA"""
"COLEGIO MIXTO ""SANTA ANA"""
"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA"""
"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""LEONIDAS MENCOS AVILA"""
"ESCUELA DE CIENCIAS COMERCIALES POR COOPERATIVA ""PROF. MIGUEL ANGEL FRANCISCO JUÁREZ PÉREZ"""
"LICEO CRISTIANO ""NATANAEL"""
"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DR. PEDRO MOLINA"""
"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH."""
"INSTITUTO MIXTO TECNÓLOGICO CENTRAL ""CIUDAD DE LOS ESCUDOS"""
"INSTITUTO MIXTO TECNOLÓGICO CENTRAL ""CIUDAD DE LOS ESCUDOS"""
"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI"""
"ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)"
"COLEGIO EVANGÉLICO BILINGÜE ""ESCORBÁN"""
"INSTITUTO DE EDUCACIÓN MEDIA ""LA ESPERANZA"""
"COLEGIO CRISTIANO ""AGUA DE VIDA"""
"COLEGIO CRISTIANO INTERNACIONAL MISIONERO ""LOS ROBLES"""
"CENTRO DE ESTUDIOS INTEGRADOS ""CEI"""
"LICEO CIENTÍFICO TECNOLÓGICO ""EN-GADI"""
"COLEGIO CRISTIANO ""GERIZIM"""
"CENTRO EDUCATIVO ""LAS CUMBRES"""
"COLEGIO ""MARÍA INMACULADA"""
"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH. """
"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""POAQUIL"""
"CENTRO EDUCATIVO MAYA COMUNITARIO ""OXLAJUJ Q´ANIL"""
