establecimiento
CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA
ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-
COLEGIO BILINGÜE BET-LUZ
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA
COLEGIO MIXTO CIENCIAS TECNOLÓGICAS
"INSTITUTO TECNOLÓGICO VOCACIONAL ""MARCO TULIO DE LA CRUZ MORALES"""
INSTITUTO TECNOLÓGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES
LICEO SAN CRISTÓBAL
COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS
COLEGIO NUESTRA SEÑORA DE LA ASUNCIÓN
COLEGIO PRIVADO MIXTO LA ENSEÑANZA
"CENTRO DE FORMACIÓN ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL ""JACK & MARIE EITING"""
COLEGIO PRIVADO MIXTO SAGRADO CORAZÓN DEL POLOCHIC
LICEO TECNOLÓGICO CAHABONCITO -LITEC-
"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-SENAHÚ ""CEPREC SENAHÚ"""
COLEGIO STHELLA DE HERNÁNDEZ
INSTITUTO DE EDUCACIÓN BÁSICA BILINGUE INTERCULTURAL LA TRINIDAD
LICEO DE SUPERACIÓN A DISTANCIA VERAPACENSE
CENTRO DE EDUCACIÓN EXTRAESCOLAR
"INSTITUTO DE EDUCACION BASICA BILINGÜE INTERCULTURAL ""LA TRINIDAD"""
COLEGIO MIXTO PRIVADO NUEVA GENERACIÓN DEL NORTE
INSTITUTO MIXTO BILINGÜE INTERCULTURAL CHOSAAM
"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-LANQUÍN ""CEPREC LANQUÍN"""
INSTITUTO AGROECOLÓGICO DE EDUCACIÓN BILINGUE FRAY DOMINGO DE VICO
CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-
INSTITUTO MIXTO DE EDUCACIÓN FORTALEZA DEL FUTURO -INMEFF-
LICEO MIXTO EN COMPUTACIÓN DEL NORTE
"INSTITUTO MIXTO DE EDUCACIÓN ""FORTALEZA DEL FUTURO"" -INMEFF-"
"INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA ""SANTO DOMINGO"""
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
CENTRO DE PROMOCIÓN FEMENINA RATZ'UM K´ICHE´
COLEGIO PARTICULAR MIXTO EL ÉXITO
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE
COLEGIO PARTICULAR MIXTO FRAY BARTOLOMÉ DE LAS CASAS
COLEGIO PARTICULAR MIXTO TINTECO MARÍA TERESA
"COLEGIO PARTICULAR MIXTO TINTECO ""MARÍA TERESA"""
"INSTITUTO MIXTO DE MAGISTERIO BILINGÜE ""SAN ANTONIO DE PADUA"""
INSTITUTO MIXTO DE EDUCACIÓN BILINGÜE INTERCULTURAL -IMEBI-
COLEGIO PARTICULAR MIXTO TEZULUTLÁN
CENTRO ESTUDIANTIL MIGUEL ÁNGEL ASTURIAS
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL
INSTITUTO TÉCNICO EXPERIMENTAL DE FORMACIÓN INDUSTRIAL POR COOPERATIVA ITEFIC
"CENTRO EDUCATIVO TECNOLÓGICO ""EL NAZARENO"""
CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO
ENBI OXLAJUJ NO´OJ
