establecimiento
CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2)
CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C E T A CH NO 2)
"ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)"
CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2)
COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO(MADUREZ)
CENTRO EDUCATIVO MAYA COMUNITARIO 'OXLAJUJ Q'ANIL'(13 SEMILLAS)
"COLEGIO BILINGÜE INTEGRAL CIENCIA, ARTE Y NACIONALISMO (ICAN)"
"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""KOTZIJAL QUINAQ"" (FLOR DE FRIJOL)"
COLEGIO BILINGÜE MI PEQUEÑO MUNDO (MY SMALL WORLD BILINGUAL SCHOOL)
COLEGIO DE INNOVACIÓN TECNOLÓGICA EDUCATIVA (C.I.T.E.)
COLEGIO INTERNACIONAL CAMBRIDGE (CIS)
INSTITUTO Y ACADEMIA PRACTICA COMERCIAL (POR MADUREZ)
"CENTRO DE FORMACION PREUNIVERSITARIA ""DR. REICHMANN"" (CEFPRE)"
INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA (I.N.C.A.)
LICEO TECNICO INTEGRAL EN COMPUTACION Y TURISMO (POR MADUREZ)
COLEGIO SAN ANGEL (BACHILLERATO POR MADUREZ)
INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER)
FUNDACION AMG INTERNACIONAL (AVANCE DEL MINISTERIO DEL EVANGELIO)
COLEGIO EL MUNDO DE LOS NIÑOS (KIDS WORLD)
COLEGIO NUESTRA SEÑORA DE LOS ANGELES (SANTA ELISA)
INSTITUTO EVANGELICO AMERICA LATINA (CURSOS DE EXTENSION)
INSTITUTO EVANGELICO AMERICA LATINA CURSOS DE EXTENSION (POR MADUREZ)
INSTITUTO DE TURISMO Y AVIACION (I.T.A.)
FUNDACIÓN M.E.M.E (MILTÓN ENRIQUE MOLINA ESPINOZA)
COLEGIO BILINGUE INTEGRIDAD (INTEGRITY)
COLEGIO BILINGUE INTEGRIDAD ( INTEGRITY)
COLEGIO BILINGÜE INTEGRIDAD ( INTEGRITY )
COLEGIO MIXTO 'MAYALAND ( TIERRA DE LOS MAYAS)'
COLEGIO MIXTO JUSTO RUFINO BARRIOS JV (PLAN SABATINO)
INED ULEW KOTZ'I'J (TIERRA DE LAS FLORES)
"CENTRO EDUCATIVO ""OPORTUNIDAD PARA LOS NIÑOS Y EL ARTESANO 3000"" (KINDERCHANCE Y HANDWERK 3000)"
CENTRO EDUCATIVO PROFESIONAL INTEGRAL (CEPROIN)
CENTRO EDUCATIVO IMB-PC EN LINEA (IMB-PC ONLINE)
"CENTRO EDUCATIVO IMB-PC EN LINEA, (IMB-PC ONLINE)"
CENTRO EDUCATIVO IMB-PC EN LÍNEA (IMB-PC ONLINE)
COLEGIO PLANETA VERDE (GREEN PLANET)
COLEGIO MIXTO PLANETA VERDE (GREEN PLANET)
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA YINHATIL NAB´EN (SEMILLA DE LA SABIDURÍA)
INSTITUTO PRIVADO MIXTO DE FORMACION MAGISTERIAL CON ORIENTACION BILINGÜE (Q EQCHI)
INSTITUTO PRIVADO MIXTO DE FORMACION MAGISTERIAL CON ORIENTACION BILINGUE (Q EQCHI)
CENTRO EDUCATIVO DE INFORMATICA (POR MADUREZ)
COLEGIO PARTICULAR MIXTO NUEVO AMANECER (POR MADUREZ)
"""LICEO MODERNO EN COMPUTACION"" (LIMCO)"
COLEGIO INTEGRADO DE EDUCACION PROFESIONAL DE PETEN (CIEPP)
"COLEGIO MIXTO PRIBADO ""A RABI BASAJ""(JESUCRISTO VIVE POR SIEMPRE)"
INSTITUTO DE CIENCIAS AGROFORESTALES Y VIDA SILVESTRE (ICAVIS)
COLEGIO AMERICANO DE OCCIDENTE (WEST AMERICAN SCHOOL)
INSTITUTO DE ESTUDIOS AVANZADOS (I. E. A.) CAMPUS LOS ALTOS
COLEGIO BYS (BEEHIVE FOR YOUNG STUDENTS)
CENTRO EDUCATIVO ASA (AFTER SCHOOL ACADEMY)
